lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,previous_stays,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,average_daily_rate,total_of_special_requests
342,0,0,2,0,0,BB,Direct,0,C,3,No Deposit,0,0,0
737,0,0,2,0,0,BB,Direct,0,C,4,No Deposit,0,0,0
7,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,75,0
14,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,1
14,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,1
0,0,2,2,0,0,BB,Direct,0,C,0,No Deposit,0,107,0
9,0,2,2,0,0,FB,Direct,0,C,0,No Deposit,0,103,1
35,0,4,2,0,0,HB,Online TA,0,D,0,No Deposit,0,145,0
68,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,3
18,0,4,2,1,0,HB,Online TA,0,G,1,No Deposit,0,154.77,1
37,0,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,94.71,0
68,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,3
12,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,0
7,0,4,2,0,0,BB,Direct,0,G,0,No Deposit,0,153,1
37,1,4,1,0,0,BB,Online TA,0,F,0,No Deposit,0,97.29,1
72,2,4,2,0,0,BB,Direct,0,A,1,No Deposit,0,84.67,1
72,2,4,2,0,0,BB,Direct,0,A,1,No Deposit,0,84.67,1
72,2,4,2,0,0,BB,Direct,0,D,1,No Deposit,0,99.67,1
77,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,94,0
99,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,87.3,1
118,4,10,1,0,0,BB,Direct,0,A,2,No Deposit,0,62,2
15,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,0
36,1,3,3,0,0,BB,Online TA,0,D,0,No Deposit,0,108.8,1
70,2,3,2,0,0,HB,Direct,0,E,0,No Deposit,0,137,1
16,2,3,2,0,0,BB,Direct,0,F,0,No Deposit,0,123,0
70,2,3,2,0,0,HB,Direct,0,E,0,No Deposit,0,137,1
107,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,110.7,2
50,2,5,2,0,0,HB,Online TA,0,E,1,No Deposit,0,119.35,1
3,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,0
1,0,1,2,0,0,BB,Online TA,0,H,0,No Deposit,0,147,0
1,0,1,2,2,0,BB,Direct,0,C,0,No Deposit,0,107,2
0,0,1,2,0,0,BB,Direct,0,H,0,No Deposit,0,147,0
0,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,117.9,2
0,0,1,2,0,0,BB,Direct,0,G,0,No Deposit,0,123,0
14,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,1
10,0,2,2,0,0,BB,Online TA,0,G,0,No Deposit,0,117.81,0
5,0,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,135,2
17,0,3,2,0,0,BB,Direct,0,F,0,No Deposit,0,133,1
10,0,2,2,2,0,BB,Online TA,0,G,0,No Deposit,0,153,0
3,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,110.5,0
51,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,0
15,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,114.5,0
3,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,90.9,0
2,2,2,1,0,0,BB,Online TA,0,A,0,No Deposit,0,122,0
69,4,10,2,0,0,BB,Online TA,0,F,1,No Deposit,0,92.45,1
12,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,0
9,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,2
1,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,131,1
21,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
9,0,1,2,0,0,BB,Online TA,0,C,0,No Deposit,0,94.71,0
109,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,123,2
101,2,5,2,1,0,BB,Online TA,0,D,0,No Deposit,0,99.3,2
102,2,5,2,0,0,BB,Direct,0,E,0,No Deposit,0,90.95,0
4,2,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,92.67,1
95,2,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,85.8,2
102,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,96.3,1
102,2,5,2,0,1,BB,Online TA,0,A,0,No Deposit,0,73.8,2
86,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,97,2
78,2,5,2,0,1,HB,Online TA,0,E,0,No Deposit,0,139,2
52,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,67.24,0
29,2,6,3,0,0,BB,Online TA,0,E,0,No Deposit,0,116.5,1
109,2,6,2,0,0,BB,Online TA,0,A,0,No Deposit,0,123,1
79,4,6,2,1,0,HB,Direct,0,D,1,No Deposit,0,149,1
2,0,1,2,2,0,BB,Online TA,0,H,1,No Deposit,0,163,0
8,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,123,0
100,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,1
1,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,114.5,0
100,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,2
100,1,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,73.8,1
9,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,88.2,1
0,1,0,2,0,0,BB,Online TA,0,A,1,No Deposit,0,85.1,0
9,1,0,1,0,0,BB,Online TA,0,A,0,No Deposit,0,89,0
2,1,0,1,0,0,BB,Online TA,0,A,0,No Deposit,0,80.1,0
2,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,98,0
9,1,0,1,0,0,BB,Online TA,0,A,0,No Deposit,0,101,0
2,1,0,2,0,0,BB,Direct,0,G,0,No Deposit,0,167,1
44,2,0,3,0,0,HB,Online TA,0,G,3,No Deposit,0,225,0
